target_id,source_id,pb-mtl_rmse,predicted_rmse,spearman,meta_rmse,pb0_rmse,pgmtl_improvement
nhdhr_70331641,nhdhr121623043,2.329669612,1.617537105,0.4726027397,0.9437127573,1.996895647,-0.332773965
nhdhr_114544961,nhdhr120018090,1.943634929,2.474020408,-0.06018343568,1.543407752,1.612740235,-0.3308946938
nhdhr_72863203,nhdhr120020204,2.714170434,1.741320107,0.436332861,1.801894711,2.39194842,-0.3222220144
nhdhr_120018182,nhdhr120018459,3.096027729,0.4596826739,0.08061328925,0.7044570188,2.797178896,-0.2988488326
nhdhr_120020388,nhdhr91684663,2.655810078,2.170141586,0.7252519288,0.6424774466,2.377046902,-0.2787631752
nhdhr_120020798,nhdhr120019636,2.476597144,1.796834498,0.5243071957,0.7227610633,2.224086802,-0.2525103426
nhdhr_123148239,nhdhr155635994,1.972835448,1.559344739,0.7102897182,2.538368916,1.727069532,-0.2457659163
nhdhr_114542575,nhdhr120018124,1.968667002,1.413105847,0.9430483388,2.027472924,1.729518142,-0.2391488602
nhdhr_69886444,nhdhr120018100,2.081364207,2.062879943,0.9312667296,0.6493342143,1.847777076,-0.2335871318
nhdhr_91595175,nhdhr34129366,2.499737976,2.586589701,0.7255353488,0.5881736498,2.270268985,-0.2294689907
nhdhr_32732186,nhdhr80005045,3.446035762,2.095529936,0.1321012439,1.747457781,3.227891669,-0.2181440937
nhdhr_34128424,nhdhr120020367,2.512926309,2.228019556,0.5026255708,0.9477777308,2.304885245,-0.2080410634
nhdhr_120018511,nhdhr120018114,2.089279389,1.864932151,0.7997795623,0.6666721664,1.884054365,-0.2052250232
nhdhr_120018061,nhdhr45728298,2.492610831,2.228894852,0.8482207526,0.6575117173,2.291416879,-0.201193952
nhdhr_155637270,nhdhr69886228,2.094138724,1.275986264,0.9499409542,1.200378575,1.909022998,-0.1851157265
nhdhr_152518175,nhdhr45728298,4.290770385,2.359317075,0.2923161707,1.822972415,4.110499133,-0.1802712519
nhdhr_155444215,nhdhr81002103,2.799380391,2.005917767,0.2651708392,1.102037431,2.655465633,-0.1439147582
nhdhr_91597267,nhdhr81002103,2.765093826,1.717620577,0.8970201543,0.5480967472,2.638734264,-0.1263595617
nhdhr_34131552,nhdhr141288680,2.241938178,1.55283872,0.9768658479,0.6569550217,2.123955351,-0.1179828263
nhdhr_166867865,nhdhr141288680,2.504091378,2.18060926,0.9519996851,0.7719580128,2.395546954,-0.108544424
nhdhr_120020220,nhdhr139268769,1.860354514,1.803640556,0.5779168635,0.6732462814,1.752783178,-0.107571336
nhdhr_120020636,nhdhr120020800,1.39897782,1.200788236,0.3947488584,1.086160681,1.300528284,-0.09844953585
nhdhr_69547949,nhdhr151949699,2.283116619,1.94208824,0.506798142,0.5953743422,2.19928364,-0.08383297843
nhdhr_69886284,nhdhr120018114,2.383134502,1.654636788,0.8166233664,0.8497515818,2.306016909,-0.07711759251
nhdhr_34131145,nhdhr120018084,1.917895548,2.117156477,0.9587190994,1.112408679,1.841461171,-0.07643437697
nhdhr_34127672,nhdhr91595845,2.903828985,2.996603822,0.9371240749,1.752987463,2.831569173,-0.07225981216
nhdhr_120020307,nhdhr143249192,6.386646214,1.977534386,0.9051527319,2.623765715,6.314669215,-0.07197699932
nhdhr_69547885,nhdhr143396594,2.292416927,-1.397492953,0.06224610298,1.417516226,2.23023706,-0.06217986711
nhdhr_120020379,nhdhr91688409,2.933947903,2.13877869,0.7723704928,0.4790836163,2.874768687,-0.05917921624
nhdhr_91689945,nhdhr81002103,2.447330454,2.03317303,0.7881947725,0.8709379452,2.38868716,-0.05864329359
nhdhr_152335370,nhdhr166867866,2.065047655,2.354069718,0.9103605731,0.9049335058,2.02616883,-0.03887882526
nhdhr_121623004,nhdhr151949699,2.555721818,1.204901001,0.3845811683,0.6163949228,2.517474769,-0.03824704852
nhdhr_91595565,nhdhr120020367,3.035159908,2.235531539,0.587490159,0.7252988676,3.004467726,-0.03069218149
nhdhr_120020359,nhdhr91688409,2.900819982,2.215218682,0.8370492836,0.8758897701,2.883292883,-0.01752709906
nhdhr_91685677,nhdhr45722930,1.688816759,2.571966464,0.9698669501,0.6766872479,1.67542747,-0.01338928902
nhdhr_143249705,nhdhr91684663,2.12294341,1.344587408,0.3815580224,0.880918424,2.115897551,-0.007045858778
nhdhr_34127389,nhdhr120020218,2.207710994,2.705816497,0.8332900331,1.231591384,2.214992914,0.007281920006
nhdhr_143249464,nhdhr45722930,3.187067303,2.38316654,0.4455440088,2.308316407,3.198585853,0.01151854948
nhdhr_120019354,nhdhr120019638,3.193032165,2.069369275,0.8851125807,0.7770275255,3.214051561,0.02101939611
nhdhr_91688765,nhdhr91595845,2.273250283,2.868467777,0.8792709809,1.454426488,2.3028609,0.02961061739
nhdhr_120019246,nhdhr120020334,1.815679753,1.453609365,0.6207054007,0.8375661432,1.84775943,0.03207967746
nhdhr_155442361,nhdhr152335372,2.823463342,2.345838006,0.79551483,1.35391156,2.857698131,0.03423478829
nhdhr_120019732,nhdhr120018114,4.360491764,2.617884618,0.8030703826,1.117447664,4.395646143,0.0351543798
nhdhr_105231881,nhdhr120020343,3.234838498,0.8248613359,0.7287592505,1.302906536,3.275447941,0.04060944361
nhdhr_120018012,nhdhr126212479,4.064500138,0.6240018026,0.3120099197,1.315965226,4.106061347,0.04156120881
nhdhr_121622394,nhdhr120020343,3.367194276,1.951573485,0.7821051803,0.8831135583,3.411358301,0.04416402456
nhdhr_122551004,nhdhr75654673,2.436772983,0.7222320253,0.3321209258,0.784086098,2.485530963,0.04875797976
nhdhr_34132539,nhdhr143249413,1.818306177,1.61041342,0.974086758,0.5706520213,1.876699283,0.05839310573
nhdhr_120018013,nhdhr126212479,4.242583418,-0.03021121299,-0.0345221225,1.883282218,4.310365407,0.06778198863
nhdhr_32671150,nhdhr166867866,2.502912004,2.415809123,0.6248464809,1.301657533,2.581790107,0.07887810249
nhdhr_{4EA76133-68CD-4DA8-A82B-0B568CD9C9B2},nhdhr34124239,1.378549936,0.5347368434,0.295099197,0.8210037582,1.461656364,0.0831064276
nhdhr_120018014,nhdhr151949699,1.656883094,0.7114856449,0.6451897339,0.627275836,1.740916572,0.08403347818
nhdhr_81642813,nhdhr34129544,1.982844523,2.665116505,0.9511966619,1.215439025,2.075449591,0.09260506765
nhdhr_34133487,nhdhr34130604,2.375893881,1.836642722,0.9622775941,0.9890168529,2.470600177,0.0947062962
nhdhr_121623301,nhdhr120018114,2.585755066,2.214366149,0.9303495513,0.78453546,2.683755208,0.09800014218
nhdhr_120020198,nhdhr34119718,2.60050792,1.140543932,0.4298968666,0.4985844086,2.702290971,0.1017830502
nhdhr_91689147,nhdhr120020226,2.366516621,1.876584471,0.6066367501,0.7736349179,2.469741656,0.1032250357
nhdhr_151948642,nhdhr151949699,1.910382179,1.773966361,0.5171665879,1.359803446,2.015109182,0.1047270024
nhdhr_120020212,nhdhr81002103,1.992360972,1.760585783,0.6196189576,0.8860181732,2.10024737,0.1078863983
nhdhr_120020392,nhdhr120020343,2.033423202,1.733672617,0.2002991655,0.8085181105,2.143045025,0.1096218231
nhdhr_120020759,nhdhr120020343,1.469234657,0.7433245722,0.4762871989,0.6298207297,1.580645215,0.1114105576
nhdhr_120018092,nhdhr91595845,2.289580394,2.361750961,0.8891985514,0.7947300109,2.401061031,0.1114806372
nhdhr_151870593,nhdhr47726570,2.111031103,2.205400401,0.970626673,1.167095538,2.232499447,0.1214683438
nhdhr_120019016,nhdhr155445200,1.92154919,2.915375356,0.9415603842,1.353327126,2.043763092,0.1222139022
nhdhr_91596049,nhdhr139268769,2.072532498,1.411417849,0.4575578649,0.4829280592,2.197614329,0.1250818317
nhdhr_34130613,nhdhr47726570,1.909973345,2.543841616,0.9720201543,0.6988182381,2.038852257,0.1288789121
nhdhr_120018088,nhdhr120018114,2.879484857,2.035201739,0.8537120139,0.642917477,3.03032807,0.1508432128
nhdhr_120018098,nhdhr120020343,1.998228946,1.751238864,0.5691505275,0.5022526035,2.150932435,0.1527034886
